AIRLINE_CODE,ORIGIN_CODE,EXPECTED_DELAY
UA,FLL,5.29661751951431
UA,MSP,9.854545454545455
UA,DEN,8.182621236704525
UA,MCO,5.951206140350878
UA,DAL,
UA,DCA,-0.7837338262476895
UA,HSV,
UA,IAH,4.958104559560755
UA,SEA,-0.6886477462437396
UA,ATL,12.204545454545455
UA,RDU,5.836206896551724
UA,MDW,
UA,BDL,-2.2339622641509433
UA,BWI,-2.198090692124105
UA,STT,-0.7368421052631579
UA,SRQ,21.365269461077844
UA,JFK,-6.6103896103896105
UA,GRR,-3.245508982035928
UA,DFW,10.279697624190065
UA,CLT,10.2
UA,ORD,3.9364372469635627
UA,LAS,0.694300518134715
UA,TUL,-1.6805555555555556
UA,USA,
UA,SLC,11.296928327645052
UA,BNA,11.313465783664459
UA,AUS,3.662315056570931
UA,IND,7.754010695187166
UA,MHT,
UA,SFO,1.8696565171741413
UA,PRC,
UA,BOS,1.420949902407287
UA,LAX,-2.0489082969432313
UA,SMF,-0.8209876543209876
UA,DTW,4.283333333333333
UA,SAT,-0.7161500815660685
UA,MSY,3.6785714285714284
UA,CMH,10.034782608695652
UA,STL,7.336448598130841
UA,SJU,7.370666666666667
UA,PHX,0.9195100612423447
UA,TPA,4.229824561403508
UA,LGA,2.592841163310962
UA,PHL,-1.2307692307692308
UA,GRK,
UA,ILM,
UA,JLN,
UA,MKE,6.513513513513513
UA,BIL,7.328
UA,BLI,
UA,CHS,6.244019138755981
UA,RIC,1.0980392156862746
UA,GSO,
UA,MCI,1.8043478260869565
UA,EWR,10.896187756115733
UA,ELP,20.35
UA,SDF,16.902439024390244
UA,HPN,
UA,SAN,-0.17323420074349444
UA,BHM,6.0
UA,SJC,-2.325
UA,ASE,
UA,HNL,0.2839506172839506
UA,MAF,5.015625
UA,BUF,0.9528301886792453
UA,TUS,2.8666666666666667
UA,SYR,8.518987341772151
UA,MSN,5.703488372093023
UA,FAT,11.704918032786885
UA,FWA,
UA,LAN,
UA,ABI,
UA,ICT,10.894736842105264
UA,CMI,
UA,OAK,
UA,IAD,4.110661950480041
UA,EUG,7.390070921985815
UA,MIA,10.11168164313222
UA,CHA,
UA,BTV,0.8695652173913043
UA,RSW,12.108695652173912
UA,PDX,2.8638858397365534
UA,SNA,0.4568062827225131
UA,PIT,2.2514285714285713
UA,OGG,-2.821759259259259
UA,HRL,
UA,BIS,
UA,SHR,
UA,BOI,3.3566433566433567
UA,RNO,7.364485981308412
UA,GSP,6.6923076923076925
UA,MLB,
UA,GRB,11.0
UA,CRW,
UA,LGB,
UA,OKC,-2.25
UA,PVD,4.25
UA,YAK,
