AIRLINE_CODE,ORIGIN_CODE,Month_of_Travel,Predicted_Delay_Time,Cancellation_Probability
9E,ABE,1,0.0,0.0
9E,ABE,2,0.0,0.0
9E,ABE,3,16.757687471742152,0.0
9E,ABE,4,0.0,0.0
9E,ABE,5,3.295912683248984,0.0
9E,ABE,6,3.4142041172584325,0.0
9E,ABE,7,16.890044372294373,0.0
9E,ABE,8,43.8542248029748,0.0
9E,ABE,9,0.0,0.0
9E,ABE,10,0.0,0.0
9E,ABE,11,0.0,0.0
9E,ABE,12,0.0,0.0
9E,ABY,1,0.0,0.0
9E,ABY,2,0.0,0.0
9E,ABY,3,0.0,0.0
9E,ABY,4,0.04141483400500425,0.0
9E,ABY,5,16.95121789321789,0.0
9E,ABY,6,4.591952380952382,0.0
9E,ABY,7,0.9899090770340773,0.0
9E,ABY,8,6.499528141792849,0.0
9E,ABY,9,0.0,0.0
9E,ABY,10,0.0,0.0
9E,ABY,11,0.0,0.0
9E,ABY,12,0.0,0.0
9E,ACK,6,157.49006926406926,0.0
9E,ACK,7,13.734240620490622,0.0
9E,ACK,8,0.0,0.0
9E,ACK,9,51.11340009990012,0.0
9E,AEX,1,0.0,0.0
9E,AEX,2,0.0,0.0
9E,AEX,3,5.875999048680938,0.0
9E,AEX,4,0.0,0.0
9E,AEX,5,5.00706967022411,0.0
9E,AEX,6,0.0,0.0
9E,AEX,7,0.0,0.0
9E,AEX,8,1.0463084572805936,0.0
9E,AEX,9,0.0,0.0
9E,AEX,10,0.0,0.0
9E,AEX,11,0.0,0.0
9E,AEX,12,0.0,0.0
9E,AGS,1,10.17317186886544,0.0
9E,AGS,2,12.38924476561318,0.0
9E,AGS,3,6.307325542618265,0.0
9E,AGS,4,0.0,0.0
9E,AGS,5,3.1171383003162187,0.0
9E,AGS,6,13.12970895898108,0.0
9E,AGS,7,23.006178388273916,0.0
9E,AGS,8,19.289509254691538,0.0
9E,AGS,9,0.0,0.0
9E,AGS,10,7.947303906638152,0.0
9E,AGS,11,0.0,0.0
9E,AGS,12,16.304035558171726,0.0
9E,ALB,1,37.04076315351315,0.0
9E,ALB,2,0.0,0.0
9E,ALB,3,0.0,0.0
9E,ALB,4,0.0,0.0
9E,ALB,5,4.804263263052734,0.0
9E,ALB,6,2.896834054834054,0.0
9E,ALB,7,0.0,0.0
9E,ALB,8,0.0,0.0
9E,ALB,9,0.0,0.0
9E,ALB,10,25.89717063492062,0.0
9E,ALB,11,14.744691558441556,0.0
9E,ALB,12,4.333138414775797,0.0
9E,ATL,1,5.303160740386457,0.0
9E,ATL,2,2.700896184566374,0.0
9E,ATL,3,3.534062785548929,0.001524390243902439
9E,ATL,4,1.1033463861180022,0.0
9E,ATL,5,5.36710441280791,0.0
9E,ATL,6,10.382954303835234,0.0
9E,ATL,7,7.158996526869508,0.0
9E,ATL,8,5.726686906840601,0.0
9E,ATL,9,0.0,0.0
9E,ATL,10,0.38219347421018907,0.0
9E,ATL,11,0.0,0.0
9E,ATL,12,2.07473858553712,0.0
9E,ATW,1,7.41413153740824,0.0
9E,ATW,2,0.0,0.0
9E,ATW,3,11.3800734446582,0.0
9E,ATW,4,0.0,0.0
9E,ATW,5,0.0,0.0
9E,ATW,6,10.137550380991557,0.0
9E,ATW,7,9.202833818228557,0.0
9E,ATW,8,0.0,0.0
9E,ATW,9,0.0,0.0
9E,ATW,10,8.1320763677006,0.0
9E,ATW,11,0.0,0.0
9E,ATW,12,0.0,0.0
9E,AUS,1,1.1207124542124545,0.0
9E,AUS,2,15.186825702075696,0.0
9E,AUS,3,30.57585009435008,0.0
9E,AUS,4,23.777033055652627,0.0
9E,AUS,5,0.07804350892553139,0.0
9E,AUS,6,8.090516594516595,0.0
9E,AUS,7,22.3222077294686,0.0
9E,AUS,8,63.40772077922078,0.0
9E,AUS,9,5.408957373544331,0.0
9E,AUS,10,4.9083974913974915,0.0
9E,AUS,11,26.940447857697844,0.0
9E,AUS,12,0.0,0.0
9E,AVL,1,0.3412914057103214,0.0
9E,AVL,2,1.3499639514891262,0.0
9E,AVL,3,5.209768876548287,0.0
9E,AVL,4,4.931373268731461,0.0
9E,AVL,5,16.492961789027962,0.0
9E,AVL,6,14.419621406371403,0.0
9E,AVL,7,21.561411588411595,0.0
9E,AVL,8,28.14288867053999,0.0
9E,AVL,9,0.0,0.0
9E,AVL,10,8.518836795943994,0.0
9E,AVL,11,74.16210961405295,0.0
9E,AVL,12,2.086001333885824,0.0
9E,AVP,6,10.44319552669553,0.0
9E,AZO,1,0.0,0.0
9E,AZO,2,5.805588092463095,0.0
9E,AZO,3,0.0,0.0
9E,AZO,4,0.0,0.0
9E,AZO,5,0.0,0.0
9E,AZO,6,0.0,0.0
9E,AZO,7,0.0,0.0
9E,AZO,8,0.0,0.0
9E,AZO,9,0.0,0.0
9E,AZO,10,0.0,0.0
9E,AZO,11,0.0,0.0
9E,AZO,12,16.5730567757406,0.0
9E,BDL,1,0.0,0.0
9E,BDL,2,7.456453254754398,0.0
9E,BDL,3,0.0,0.0
9E,BDL,4,0.0,0.0
9E,BDL,5,6.212052281052281,0.0
9E,BDL,6,0.0,0.0
9E,BDL,7,0.0,0.0
9E,BDL,8,0.0,0.0
9E,BDL,9,0.0,0.0
9E,BDL,10,0.0,0.0
9E,BDL,11,0.0,0.0
9E,BDL,12,5.675782994782994,0.0
9E,BGM,1,10.203928571428573,0.0
9E,BGM,2,18.228428571428573,0.0
9E,BGM,3,0.0,0.0
9E,BGM,4,0.0,0.0
9E,BGM,5,0.0,0.0
9E,BGM,6,4.524281100478465,0.0
9E,BGM,7,0.7934047619047621,0.0
9E,BGM,8,0.0,0.0
9E,BGM,10,17.262738095238095,0.0
9E,BGM,11,10.31679761904762,0.0
9E,BGM,12,10.741071428571429,0.0
9E,BGR,1,36.89232247366498,0.0
